CrtSize,Brdgm2,BrdPrice,Quantity,InkCover,InkPriceKg,Mcost,Price
136800,240,800,10000,2,12,1358,102
54000,240,730,15000,2,12,1358,102
263568,240,636,10000,2,12,826,98
224000,240,586,10000,2,12,792,94
192060,265,605,10000,2,12,781,90
730112,240,730,60000,2,12,3565,88
846300,285,621,100000,2,12,5014,88
846300,285,621,100000,2,12,5014,88
113750,240,586,10000,2,12,761,86
267904,272,1370,50000,2,12,2209,78
267904,265,586,20000,2,12,924,69
267904,272,1370,50000,2,12,1411,67
267904,265,2910,50000,2,12,1411,67
228071,240,586,25000,2,12,1411,67
171380,240,586,25000,2,12,1411,67
267904,265,586,20000,2,12,924,66
112746,240,586,20000,2,12,1102,65
224879,272,1420,20000,2,12,861,65
224879,240,596,20000,2,12,861,64
205425,240,655,15000,2,12,797,64
704628,230,576,40000,2,12,1462,61
846300,285,621,100000,2,12,3333,60
846300,285,621,100000,2,12,3333,60
846300,285,621,100000,2,12,3333,60
267904,272,1370,50000,2,12,1411,59
267904,265,586,30000,2,12,1031,56
1047860,280,860,50000,2,12,1575,56
216401,280,860,20000,2,12,1575,56
150926,280,860,20000,2,12,1575,56
532593,325,566,250000,2,12,1246,55
267904,272,1370,50000,2,12,1246,55
396880,240,576,68000,2,12,2782,55
367632,272,1370,80000,2,12,2015,54
224879,240,596,20000,2,12,861,54
267904,265,586,30000,2,12,1031,53
224879,272,1420,30000,2,12,936,52
224879,240,596,30000,2,12,936,52
193726,240,596,20000,2,12,847,52
942175,272,1370,5000,2,12,2292,52
346500,272,1370,100000,2,12,2292,52
457056,285,605,2500,2,12,1749,51
311575,285,855,600000,2,12,1749,51
182585,285,605,2500,2,12,1749,51
79950,265,576,1000000,2,12,1749,51
79950,265,576,1000000,2,12,1749,51
79950,265,586,1000000,2,12,1749,51
324900,272,1420,50000,2,12,1121,47
204160,285,605,50000,2,12,1410,47
267904,265,586,50000,2,12,1246,46
193726,240,586,25000,2,12,882,44
267904,265,586,50000,2,12,1246,43
267904,265,586,150000,2,12,1246,43
224879,272,1420,50000,2,12,1087,43
224879,240,596,50000,2,12,1087,42
204160,240,586,50000,2,12,1579,42
224879,240,596,30000,2,12,936,41
324900,272,1420,100000,2,12,1532,40
193726,272,1370,18000,2,12,916,40
193726,272,1395,18000,2,12,916,40
193726,240,596,30000,2,12,916,40
193726,240,596,30000,2,12,916,40
136800,240,586,60000,2,12,1612,39
396880,240,576,68000,2,12,1973,39
267904,265,586,100000,2,12,1781,39
338520,265,621,100000,2,12,1869,38
199262,240,640,122000,2,12,1869,38
193726,240,620,122000,2,12,1869,38
476160,265,601,100000,2,12,2109,38
342144,285,605,50000,2,12,1399,38
204160,265,576,50000,2,12,1399,38
204160,285,605,50000,2,12,1399,38
204160,285,605,50000,2,12,1399,38
324900,272,1420,150000,2,12,1943,37
154112,230,586,750000,2,12,17724,37
324900,272,1420,170000,2,12,2108,37
267904,265,586,150000,2,12,2317,36
172788,240,576,50000,2,12,1294,36
324900,272,1420,200000,2,12,2354,36
267904,265,586,100000,2,12,1781,36
324900,265,586,50000,2,12,1121,36
324900,272,1420,250000,2,12,2765,35
267904,265,586,200000,2,12,2852,35
154350,240,586,70000,2,12,1764,35
224879,272,1420,100000,2,12,1465,35
204160,240,636,50000,2,12,1204,35
324900,272,1420,300000,2,12,3176,35
197780,240,611,50000,2,12,1204,35
224879,240,596,100000,2,12,1465,35
324900,272,1420,400000,2,12,3998,34
324900,272,1420,500000,2,12,4820,34
256200,230,586,750000,2,12,11624,33
193726,240,596,50000,2,12,1218,33
224879,272,1420,150000,2,12,1842,33
204160,240,586,50000,2,12,1115,32
267904,265,586,200000,2,12,2852,32
154112,240,586,100000,2,12,2252,32
224879,240,596,150000,2,12,1842,32
172788,240,576,50000,2,12,1194,32
402300,240,586,30000,2,12,7426,32
402300,240,586,500000,2,12,7426,32
224879,272,1420,200000,2,12,2220,31
224879,240,596,50000,2,12,1087,31
154350,240,586,70000,2,12,1596,31
333312,265,621,100000,2,12,1593,30
333312,265,621,100000,2,12,1593,30
193726,240,596,50000,2,12,1053,30
204160,240,586,50000,2,12,1053,29
324900,265,586,100000,2,12,1532,28
164025,325,605,1000,2,12,3977,28
154112,240,615,100000,2,12,1892,27
324900,265,586,150000,2,12,1943,26
324900,265,586,170000,2,12,2108,25
207270,296,749,100000,2,12,1148,25
324900,265,586,200000,2,12,2354,25
324900,265,586,250000,2,12,2765,24
224879,240,596,100000,2,12,1465,24
324900,265,686,310000,2,12,3258,23
116875,240,865,90000,2,12,1320,23
324900,265,586,400000,2,12,3998,23
324900,265,686,400000,2,12,3998,23
324900,265,586,500000,2,12,4820,22
324900,265,686,500000,2,12,4820,22
193726,240,596,100000,2,12,1397,22
154112,230,586,750000,2,12,7106,22
224879,240,596,150000,2,12,1842,21
78750,240,615,175000,2,12,2543,20
154112,240,586,100000,2,12,1288,20
122472,240,586,100000,2,12,1288,20
224879,240,596,200000,2,12,2220,20
224879,240,596,200000,2,12,2220,20
170000,240,586,100000,2,12,1806,20
170000,240,586,144000,2,12,1806,20
124839,240,800,200000,2,12,2134,20
193726,240,596,150000,2,12,1740,20
224879,240,596,250000,2,12,2597,19
480000,240,576,500000,2,12,805,19
480000,240,576,500000,2,12,805,19
480000,240,576,500000,2,12,805,19
402300,240,586,30000,2,12,4305,19
402300,240,586,500000,2,12,4305,19
193726,240,596,200000,2,12,2084,18
122472,240,586,100000,2,12,1218,18
557428,265,1500,50000,2,12,1178,18
172608,265,630,50000,2,12,1178,18
128989,240,586,100000,2,12,1178,18
128989,240,640,100000,2,12,1178,18
128989,269,1425,100000,2,12,1178,18
194824,240,640,125000,2,12,1352,18
194824,240,640,125000,2,12,1352,18
128989,240,865,150000,2,12,1448,18
116875,240,586,100000,2,12,1170,18
164020,240,856,300000,2,12,2464,17
164020,240,586,80000,2,12,1496,17
164020,240,586,150000,2,12,1496,17
169050,240,586,300000,2,12,2531,16
274560,240,640,50000,2,12,1910,15
140800,240,586,500000,2,12,3744,15
120750,240,586,300000,2,12,2387,15
154350,240,586,500000,2,12,3598,15
164020,240,586,300000,2,12,2282,14
164020,240,586,300000,2,12,2282,14
108360,240,615,200000,2,12,1694,14
170000,240,586,680000,2,12,4659,14
97144,240,586,300000,2,12,2421,14
86940,240,586,300000,2,12,2250,14
170000,240,586,864000,2,12,5308,13
116875,240,586,500000,2,12,3011,12
116875,240,586,500000,2,12,3011,12
116875,240,586,180000,2,12,1034,11
128989,240,640,1600000,2,12,8200,11
79950,265,586,1250000,2,12,6462,11
418912,240,586,10000,2,12,2353,11
418912,240,586,10000,2,12,2353,11
25287,230,586,300000,2,12,2353,11
116875,240,596,2000000,2,12,9646,10
116875,230,596,2000000,2,12,9646,10
116875,240,596,2000000,2,12,9646,10
85500,265,586,100000,2,12,4703,10
116875,230,596,2000000,2,12,9646,10
25287,230,586,300000,2,12,1688,8
